usn,name,name_fr,category,h_psn,root_node.usn,root_node.name_fr,nht_period,egc_tagx.glb500.y2023
a03,阿尔卑斯（中国）有限公司无锡研发中心,阿尔卑斯（中国）有限公司无锡研发中心,ent,root-node,a03,阿尔卑斯（中国）有限公司无锡研发中心,{},nf04
a05,阿里健康科技（杭州）有限公司,阿里健康科技（杭州）有限公司,ent,auq,asr,阿里巴巴集团控股有限公司,"{""2019-01-23"":""2025-01-23""}",[glb]
a02,University of Leeds,University of Leeds,[pin],root-node,a02,University of Leeds,{},nf04
a01,SK海力士半导体（中国）有限公司,SK海力士半导体（中国）有限公司,ent,auy,auy,SK海力士公司,{},[glb]
a04,阿里巴巴（中国）有限公司余杭分公司,阿里巴巴（中国）有限公司余杭分公司,ent,ast,asr,阿里巴巴集团控股有限公司,{},[glb]
a06,阿里云计算有限公司,阿里云计算有限公司,ent,aup,asr,阿里巴巴集团控股有限公司,"{""2016-01-23"":""2025-01-23""}",[glb]
a07,阿特拉斯·科普柯（上海）贸易有限公司,阿特拉斯·科普柯（上海）贸易有限公司,ent,root-node,a07,阿特拉斯·科普柯（上海）贸易有限公司,{},nf04
a09,爱尔兰 都柏林大学,爱尔兰 都柏林大学,[pin],root-node,a09,爱尔兰 都柏林大学,{},nf04
a0c,安徽佳嘉易国际贸易有限公司,安徽佳嘉易国际贸易有限公司,ent,root-node,a0c,安徽佳嘉易国际贸易有限公司,{},nf04
a0b,安徽博物院,安徽博物院,pin,root-node,a0b,安徽博物院,{},nf04
a0e,安徽巨一科技股份有限公司,安徽巨一科技股份有限公司,ent,root-node,a0e,安徽巨一科技股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a0d,安徽江淮汽车集团股份有限公司,安徽江淮汽车集团股份有限公司,ent,root-node,a0d,安徽江淮汽车集团股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a0f,安克创新科技股份有限公司深圳分公司,安克创新科技股份有限公司深圳分公司,ent,aus,aus,安克创新科技股份有限公司,{},nf04
a08,爱丁堡大学,爱丁堡大学,[pin],root-node,a08,爱丁堡大学,{},nf04
a0g,安阳尚层铭筑装饰有限公司,安阳尚层铭筑装饰有限公司,ent,root-node,a0g,安阳尚层铭筑装饰有限公司,{},nf04
a0h,澳大利亚 昆士兰大学,澳大利亚 昆士兰大学,[pin],root-node,a0h,澳大利亚 昆士兰大学,{},nf04
a0i,澳大利亚墨尔本大学,澳大利亚墨尔本大学,[pin],root-node,a0i,澳大利亚墨尔本大学,{},nf04
a0j,巴黎大学,巴黎大学,[pin],root-node,a0j,巴黎大学,{},nf04
a0m,宝信软件（武汉）有限公司,宝信软件（武汉）有限公司,ent,adq,bdu,中国宝武钢铁集团有限公司,"{""2008-01-23"":""2026-01-23""}",[glb]
a0n,北京爱笔科技有限公司,北京爱笔科技有限公司,ent,root-node,a0n,北京爱笔科技有限公司,{},nf04
