usn,name,name_fr,category,h_psn,root_node.usn,root_node.name_fr,nht_period,egc_tagx.glb500.y2023,egc_tagx.chn500.y2023,egc_tagx.soe.y2023,egc_tagx.plc.y2023,egc_tagx.nht.y2023,egc_tagx.isc100.y2023,egc_tagx.fic500_all.y2023,egc_tagx.fic500_mfg.y2023,egc_tagx.fic100_svc.y2023,h_comments
a03,阿尔卑斯（中国）有限公司无锡研发中心,阿尔卑斯（中国）有限公司无锡研发中心,ent,i-root,a03,阿尔卑斯（中国）有限公司无锡研发中心,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,2401120：母公司在日本上市
a05,阿里健康科技（杭州）有限公司,阿里健康科技（杭州）有限公司,ent,auq,asr,阿里巴巴集团控股有限公司,"{""2019-01-23"":""2025-01-23""}",[glb],[chn],nf-404,nf-404,nht,nf-404,[fic],nf-404,[fic],
a02,University of Leeds,University of Leeds,[pin],i-root,a02,University of Leeds,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a01,SK海力士半导体（中国）有限公司,SK海力士半导体（中国）有限公司,ent,auy,auy,SK海力士公司,{},[glb],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240116：母公司在韩国上市的
a04,阿里巴巴（中国）有限公司余杭分公司,阿里巴巴（中国）有限公司余杭分公司,ent,ast,asr,阿里巴巴集团控股有限公司,{},[glb],[chn],nf-404,nf-404,[nht],nf-404,[fic],nf-404,[fic],
a06,阿里云计算有限公司,阿里云计算有限公司,ent,aup,asr,阿里巴巴集团控股有限公司,"{""2016-01-23"":""2025-01-23""}",[glb],[chn],nf-404,nf-404,nht,nf-404,[fic],nf-404,[fic],
a07,阿特拉斯·科普柯（上海）贸易有限公司,阿特拉斯·科普柯（上海）贸易有限公司,ent,i-root,a07,阿特拉斯·科普柯（上海）贸易有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240120：集团收入130亿欧元-2022年；在海外上市的。
a09,爱尔兰 都柏林大学,爱尔兰 都柏林大学,[pin],i-root,a09,爱尔兰 都柏林大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0c,安徽佳嘉易国际贸易有限公司,安徽佳嘉易国际贸易有限公司,ent,i-root,a0c,安徽佳嘉易国际贸易有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0b,安徽博物院,安徽博物院,pin,i-root,a0b,安徽博物院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0e,安徽巨一科技股份有限公司,安徽巨一科技股份有限公司,ent,i-root,a0e,安徽巨一科技股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a0d,安徽江淮汽车集团股份有限公司,安徽江淮汽车集团股份有限公司,ent,i-root,a0d,安徽江淮汽车集团股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,chn,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a0f,安克创新科技股份有限公司深圳分公司,安克创新科技股份有限公司深圳分公司,ent,aus,aus,安克创新科技股份有限公司,{},nf-404,nf-404,nf-404,[plc],[nht],nf-404,nf-404,nf-404,nf-404,
a08,爱丁堡大学,爱丁堡大学,[pin],i-root,a08,爱丁堡大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0g,安阳尚层铭筑装饰有限公司,安阳尚层铭筑装饰有限公司,ent,i-root,a0g,安阳尚层铭筑装饰有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0h,澳大利亚 昆士兰大学,澳大利亚 昆士兰大学,[pin],i-root,a0h,澳大利亚 昆士兰大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0i,澳大利亚墨尔本大学,澳大利亚墨尔本大学,[pin],i-root,a0i,澳大利亚墨尔本大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0j,巴黎大学,巴黎大学,[pin],i-root,a0j,巴黎大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0m,宝信软件（武汉）有限公司,宝信软件（武汉）有限公司,ent,adq,bdu,中国宝武钢铁集团有限公司,"{""2008-01-23"":""2026-01-23""}",[glb],[chn],[soe],[plc],nht,nf-404,nf-404,nf-404,nf-404,
a0n,北京爱笔科技有限公司,北京爱笔科技有限公司,ent,i-root,a0n,北京爱笔科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0o,北京八月影视制作有限公司,北京八月影视制作有限公司,ent,i-root,a0o,北京八月影视制作有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0p,北京博乐科技有限公司,北京博乐科技有限公司,ent,i-root,a0p,北京博乐科技有限公司,"{""2018-01-23"":""2021-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0q,北京超波互动网络科技有限公司,北京超波互动网络科技有限公司,ent,i-root,a0q,北京超波互动网络科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0r,北京创思远达科技有限公司,北京创思远达科技有限公司,ent,i-root,a0r,北京创思远达科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a0l,邦道科技有限公司,邦道科技有限公司,ent,i-root,a0l,邦道科技有限公司,"{""2018-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a0s,北京达佳互联信息技术有限公司,北京达佳互联信息技术有限公司,ent,axk,axk,快手科技,"{""2017-01-23"":""2026-01-23""}",nf-404,[chn],nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,240120：财报22-P254明确说明是快手的100%子公司
a0t,北京达佳互联信息技术有限公司杭州分公司,北京达佳互联信息技术有限公司杭州分公司,ent,a0s,axk,快手科技,{},nf-404,[chn],nf-404,nf-404,[nht],nf-404,nf-404,nf-404,nf-404,
a0u,北京大学,北京大学,pin,i-root,a0u,北京大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0v,北京嘀嘀无限科技发展有限公司,北京嘀嘀无限科技发展有限公司,ent,i-root,a0v,北京嘀嘀无限科技发展有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,fic,nf-404,fic,
a0w,北京帝测科技股份有限公司,北京帝测科技股份有限公司,ent,i-root,a0w,北京帝测科技股份有限公司,"{""2011-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a0k,百度在线网络技术（北京）有限公司,百度在线网络技术（北京）有限公司,ent,axm,axm,百度集团股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,[chn],nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a0a,爱玛科技集团股份有限公司,爱玛科技集团股份有限公司,ent,i-root,a0a,爱玛科技集团股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,fic,nf-404,
a10,北京航空航天大学,北京航空航天大学,pin,i-root,a10,北京航空航天大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a11,北京交通大学,北京交通大学,pin,i-root,a11,北京交通大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a12,北京京东尚科信息技术有限公司,北京京东尚科信息技术有限公司,ent,a13,auz,京东集团股份有限公司,"{""2013-01-23"":""2025-01-23""}",[glb],[chn],nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a13,北京京东世纪贸易有限公司,北京京东世纪贸易有限公司,ent,auz,auz,京东集团股份有限公司,{},[glb],[chn],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a14,北京凯声文化传媒有限责任公司,北京凯声文化传媒有限责任公司,ent,i-root,a14,北京凯声文化传媒有限责任公司,"{""2018-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a15,北京旷视科技有限公司,北京旷视科技有限公司,ent,i-root,a15,北京旷视科技有限公司,"{""2014-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a0z,北京果仁互动科技有限公司,北京果仁互动科技有限公司,ent,aux,aux,北京贝塔科技有限公司,{},nf-404,nf-404,nf-404,nf-404,[nht],nf-404,nf-404,nf-404,nf-404,
a17,北京理工大学,北京理工大学,pin,i-root,a17,北京理工大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
