usn,name_fr,usci_org,category
nf-404,公安部第三研究所,121000007178020277,pin
nf-404,苏州市高新区腾成志教育科技有限公司,91320505MA7D846M41,ent
nf-404,绍兴市上虞区融媒体中心,12330682MB1E85969P,pin
nf-404,上海微创软件股份有限公司,91310000738547192N,ent
nf-404,循化撒拉族自治县道帏藏族乡人民政府,11632128015033614E,gpo
nf-404,上海芯渺智能科技有限公司,91310117MA1J41ML2M,ent
nf-404,无锡纳新智能科技有限公司,91320211MA1YDUB02B,ent
nf-404,上海微创软件股份有限公司深圳分公司,91440300674813315D,ent
nf-404,郑州智能科技职业学院,52410000MJ0A567829,org
nf-404,厦门三五数字科技有限公司,91350203MA31NAQNXM,ent
nf-404,浙大网新科技股份有限公司,91330000143002679X,ent
nf-404,中国电信股份有限公司宿州分公司,91341300756847092Q,ent
nf-404,重庆沐风趣游科技有限公司上海分公司,91310110MADX46KH56,ent
nf-404,天津元生无界科技有限公司,91120118MAC3TP3151,ent
nf-404,北京捌玖万亿技术有限公司,91110102MA01UAXE3U,ent
nf-404,上海科之锐人才咨询有限公司,91310000764286520D,ent
nf-404,汉堂软件工程（上海）有限公司杭州分公司,91330108MA7E65WM2W,ent
nf-404,广州库洛数界科技有限公司,91440101MA5D705G95,ent
nf-404,琏升科技股份有限公司,91350200751642792T,ent
nf-404,汉堂软件工程（上海）有限公司,913102305529640359,ent
nf-404,广东盈峰城市服务智能科技有限公司,91440606MA531RBK10,ent
nf-404,上海科锐派信息科技有限公司,91310106MA1FYK1K2Q,ent
nf-404,苏州科喆电子商务有限公司,91320509MA20WUQ96B,ent
nf-404,安徽国鲸供应链科技有限公司,91340523MA8QXTEC1A,ent
nf-404,浙江盖思新能源有限公司,91330101MA28RD5M2K,ent
nf-404,连云港师范高等专科学校第二附属小学,12320700468047314L,pin
nf-404,福建晋江农村商业银行股份有限公司,91350500587541382D,ent
nf-404,盈峰环境科技集团股份有限公司,913300006096799222,ent
nf-404,叁零壹勃势（青岛）生物医疗科技有限公司,91370211MACBPYXG9J,ent
