usn,name_fr,usci_org,category,name
bsu,公安部第三研究所,121000007178020277,pin,公安部第三研究所
bsv,苏州市高新区腾成志教育科技有限公司,91320505MA7D846M41,ent,苏州市高新区腾成志教育科技有限公司
bsw,绍兴市上虞区融媒体中心,12330682MB1E85969P,pin,绍兴市上虞区融媒体中心
bsx,上海微创软件股份有限公司,91310000738547192N,ent,上海微创软件股份有限公司
bsy,循化撒拉族自治县道帏藏族乡人民政府,11632128015033614E,gpo,循化撒拉族自治县道帏藏族乡人民政府
bsz,上海芯渺智能科技有限公司,91310117MA1J41ML2M,ent,上海芯渺智能科技有限公司
bt0,无锡纳新智能科技有限公司,91320211MA1YDUB02B,ent,无锡纳新智能科技有限公司
bt1,上海微创软件股份有限公司深圳分公司,91440300674813315D,ent,上海微创软件股份有限公司深圳分公司
bt2,郑州智能科技职业学院,52410000MJ0A567829,org,郑州智能科技职业学院
bt3,厦门三五数字科技有限公司,91350203MA31NAQNXM,ent,厦门三五数字科技有限公司
bt4,浙大网新科技股份有限公司,91330000143002679X,ent,浙大网新科技股份有限公司
bt5,中国电信股份有限公司宿州分公司,91341300756847092Q,ent,中国电信股份有限公司宿州分公司
bt6,重庆沐风趣游科技有限公司上海分公司,91310110MADX46KH56,ent,重庆沐风趣游科技有限公司上海分公司
bt7,天津元生无界科技有限公司,91120118MAC3TP3151,ent,天津元生无界科技有限公司
bt8,北京捌玖万亿技术有限公司,91110102MA01UAXE3U,ent,北京捌玖万亿技术有限公司
bt9,上海科之锐人才咨询有限公司,91310000764286520D,ent,上海科之锐人才咨询有限公司
bta,汉堂软件工程（上海）有限公司杭州分公司,91330108MA7E65WM2W,ent,汉堂软件工程（上海）有限公司杭州分公司
btb,广州库洛数界科技有限公司,91440101MA5D705G95,ent,广州库洛数界科技有限公司
btc,琏升科技股份有限公司,91350200751642792T,ent,琏升科技股份有限公司
btd,汉堂软件工程（上海）有限公司,913102305529640359,ent,汉堂软件工程（上海）有限公司
bte,广东盈峰城市服务智能科技有限公司,91440606MA531RBK10,ent,广东盈峰城市服务智能科技有限公司
btf,上海科锐派信息科技有限公司,91310106MA1FYK1K2Q,ent,上海科锐派信息科技有限公司
btg,苏州科喆电子商务有限公司,91320509MA20WUQ96B,ent,苏州科喆电子商务有限公司
bth,安徽国鲸供应链科技有限公司,91340523MA8QXTEC1A,ent,安徽国鲸供应链科技有限公司
bti,浙江盖思新能源有限公司,91330101MA28RD5M2K,ent,浙江盖思新能源有限公司
btj,连云港师范高等专科学校第二附属小学,12320700468047314L,pin,连云港师范高等专科学校第二附属小学
btk,福建晋江农村商业银行股份有限公司,91350500587541382D,ent,福建晋江农村商业银行股份有限公司
btl,盈峰环境科技集团股份有限公司,913300006096799222,ent,盈峰环境科技集团股份有限公司
btm,叁零壹勃势（青岛）生物医疗科技有限公司,91370211MACBPYXG9J,ent,叁零壹勃势（青岛）生物医疗科技有限公司
