usn,name_fr,usci_org,category,name
bsh,北京国有资本运营管理有限公司,91110000683551038C,ent,北京国有资本运营管理有限公司
bsi,福建省自然资源地理信息中心（福建省基础地理遥感影像应用中心、高分辨率对地观测系统福建数据与应用中心）,12350000MB1Q54987F,pin,福建省自然资源地理信息中心（福建省基础地理遥感影像应用中心、高分辨率对地观测系统福建数据与应用中心）
bsj,上海汉得信息技术股份有限公司,9131000074027295XF,ent,上海汉得信息技术股份有限公司
bsk,南京中央商场（集团）股份有限公司,91320100134881640F,ent,南京中央商场（集团）股份有限公司
bsl,恒宇信通航空装备（北京）股份有限公司,91110113743335987W,ent,恒宇信通航空装备（北京）股份有限公司
bsm,常州创特信息技术有限公司,91320411MA1R8N1M67,ent,常州创特信息技术有限公司
bsn,盱眙润隆商业管理有限公司,91320830MA22P7J5X6,ent,盱眙润隆商业管理有限公司
bso,北京外企德科人力资源服务上海有限公司杭州分公司,91330102MAC11FY61X,ent,北京外企德科人力资源服务上海有限公司杭州分公司
bsp,安徽博物院（安徽省文物鉴定站）,12340000485003719L,pin,安徽博物院（安徽省文物鉴定站）
bsq,北京市人民政府国有资产监督管理委员会,111100007541547007,gpo,北京市人民政府国有资产监督管理委员会
bsr,南京中央商场投资管理有限公司,91320100745359886K,ent,南京中央商场投资管理有限公司
bss,恒宇信通航空装备（北京）股份有限公司西安分公司,91610131783584013N,ent,恒宇信通航空装备（北京）股份有限公司西安分公司
