rank,enterprise,revenue,profit,country
1,沃尔玛（WALMART),648125,15511,美国
2,亚马逊（AMAZON.COM),574785,30425,美国
3,国家电网有限公司（STATE GRID),545947.5,9204.3,中国
4,沙特阿美公司（SAUDI ARAMCO),494890.1,120699.3,沙特阿拉伯
5,中国石油化工集团有限公司（SINOPEC GROUP),429699.7,9393.4,中国
6,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),421713.6,21294.7,中国
7,苹果公司（APPLE),383285,96995,美国
8,联合健康集团（UNITEDHEALTH GROUP),371622,22381,美国
9,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),364482,96223,美国
10,CVS Health公司（CVS HEALTH),357776,8344,美国
11,大众公司（VOLKSWAGEN),348408.1,17944.5,德国
12,埃克森美孚（EXXON MOBIL),344582,36010,美国
13,壳牌公司（SHELL),323183,19359,英国
14,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),320430.5,4371.5,中国
15,丰田汽车公司（TOYOTA MOTOR),312018.2,34214.4,日本
16,麦克森公司（MCKESSON),308951,3002,美国
17,Alphabet公司（ALPHABET),307394,73795,美国
18,Cencora公司（CENCORA),262173.4,1745.3,美国
19,托克集团（TRAFIGURA GROUP),244280.2,7393.2,新加坡
20,开市客（COSTCO WHOLESALE),242290,6292,美国
21,摩根大通公司（JPMORGAN CHASE),239425,49552,美国
22,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),222484.2,51417,中国
23,道达尔能源公司（TOTALENERGIES),218945,21384,法国
24,嘉能可（GLENCORE),217829,4280,瑞士
25,英国石油公司（BP),213032,15239,英国
26,微软（MICROSOFT),211915,72361,美国
27,嘉德诺健康集团（CARDINAL HEALTH),205012,261,美国
28,Stellantis集团（STELLANTIS),204908.3,20103.4,荷兰
29,雪佛龙（CHEVRON),200949,21369,美国
30,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),199826.1,46990,中国
31,三星电子（SAMSUNG ELECTRONICS),198256.7,11081.7,韩国
32,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),197876,4562.9,中国
33,信诺集团（CIGNA GROUP),195265,5164,美国
34,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),192398.3,38048.7,中国
35,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),178562.9,2152.5,中国
36,福特汽车公司（FORD MOTOR),176191,4347,美国
37,中国银行股份有限公司（BANK OF CHINA),172327.6,32758.3,中国
38,美国银行（BANK OF AMERICA),171912,26515,美国
39,通用汽车公司（GENERAL MOTORS),171842,10127,美国
40,Elevance Health公司（ELEVANCE HEALTH),171340,5987,美国
41,宝马集团（BMW GROUP),168102.6,12205.2,德国
42,梅赛德斯-奔驰集团（MERCEDES-BENZ GROUP),165637.8,15417,德国
43,中国铁道建筑集团有限公司（CHINA RAILWAY CONSTRUCTION),160847.4,1701,中国
44,中国宝武钢铁集团有限公司（CHINA BAOWU STEEL GROUP),157216.3,2493.8,中国
45,花旗集团（CITIGROUP),156820,9228,美国
46,Centene公司（CENTENE),153999,2702,美国
47,京东集团股份有限公司（JD.COM),153217.4,3413.8,中国
48,家得宝（HOME DEPOT),152669,15143,美国
49,法国电力公司（ELECTRICITÉ DE FRANCE),151040.2,10827.9,法国
50,马拉松原油公司（MARATHON PETROLEUM),150307,9681,美国
51,克罗格（KROGER),150039,2164,美国
52,Phillips 66公司（PHILLIPS 66),149890,7015,美国
53,中国平安保险（集团）股份有限公司（PING AN INSURANCE),145759.1,12100.9,中国
54,中国中化控股有限责任公司（SINOCHEM HOLDINGS),143240,-3666,中国
55,中国移动通信集团有限公司（CHINA MOBILE COMMUNICATIONS),142832.4,15253.4,中国
56,中国海洋石油集团有限公司（CHINA NATIONAL OFFSHORE OIL),141731.8,14559.2,中国
57,本田汽车（HONDA MOTOR),141348.5,7660.6,日本
58,房利美（FANNIE MAE),141240,17408,美国
59,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),139615.9,-841.2,中国
60,沃博联（WALGREENS BOOTS ALLIANCE),139081,-3080,美国
61,瓦莱罗能源公司（VALERO ENERGY),139001,8835,美国
62,西班牙国家银行（BANCO SANTANDER),137244.8,11973.8,西班牙
63,中国交通建设集团有限公司（CHINA COMMUNICATIONS CONSTRUCTION),136670.7,1672.3,中国
64,法国巴黎银行（BNP PARIBAS),136076.2,11864.6,法国
65,三菱商事株式会社（MITSUBISHI),135389.8,6670.2,日本
66,Meta Platforms公司（META PLATFORMS),134902,39098,美国
67,汇丰银行控股公司（HSBC HOLDINGS),134901,23533,英国
68,威瑞森电信（VERIZON COMMUNICATIONS),133974,11614,美国
69,中国五矿集团有限公司（CHINA MINMETALS),132019.7,766,中国
70,阿里巴巴集团控股有限公司（ALIBABA GROUP HOLDING),131337.9,11165.1,中国
71,中国中信集团有限公司（CITIC GROUP),131242.3,4124.6,中国
72,中国华润有限公司（CHINA RESOURCES),126169.5,3797.5,中国
73,现代汽车（HYUNDAI MOTOR),124576.7,9158.6,韩国
74,美国电话电报公司（AT&T),122428,14400,美国
75,山东能源集团有限公司（SHANDONG ENERGY GROUP),122383.2,829.6,中国
76,美国康卡斯特电信公司（COMCAST),121572,15388,美国
77,德国电信（DEUTSCHE TELEKOM),121046.2,19229.9,德国
78,中国南方电网有限责任公司（CHINA SOUTHERN POWER GRID),118813.5,2342.2,中国
79,Uniper公司（UNIPER),116662.5,6819.3,德国
80,美国富国银行（WELLS FARGO),115340,19142,美国
81,恒力集团有限公司（HENGLI GROUP),114664.5,980.8,中国
82,安联保险集团（ALLIANZ),113517.7,9233.3,德国
83,中国邮政集团有限公司（CHINA POST GROUP),112778.5,5884.5,中国
84,国家能源投资集团有限责任公司（CHINA ENERGY INVESTMENT),112048.7,6339.1,中国
85,厦门建发集团有限公司（XIAMEN C&D),110665.6,1057.6,中国
86,信实工业公司（RELIANCE INDUSTRIES),108877.9,8412.5,印度
87,高盛集团（GOLDMAN SACHS GROUP),108418,8516,美国
88,房地美（FREDDIE MAC),108050,10538,美国
89,俄罗斯石油公司（ROSNEFT OIL),107543.1,14870.4,俄罗斯
90,塔吉特公司（TARGET),107412,4138,美国
91,Equinor公司（EQUINOR),107174,11885,挪威
92,哈门那公司（HUMANA),106374,2489,美国
93,上海汽车集团股份有限公司（SAIC MOTOR),105195.7,1992.6,中国
94,州立农业保险公司（STATE FARM INSURANCE),104198.6,-6272.3,美国
95,印度人寿保险公司（LIFE INSURANCE CORP. OF INDIA),103547.6,4944,印度
96,雀巢公司（NESTLÉ),103505.2,12475.4,瑞士
97,意大利国家电力公司（ENEL),103311.4,3716.7,意大利
98,埃尼石油公司（ENI),102501.7,5157.7,意大利
99,巴西国家石油公司（PETROBRAS),102409,24884,巴西
100,SK集团（SK),101968.8,-594.8,韩国
101,意昂集团（E.ON),101280.1,558.9,德国
102,俄罗斯天然气工业股份公司（GAZPROM),100252.5,-7383.4,俄罗斯
103,华为投资控股有限公司（HUAWEI INVESTMENT & HOLDING),99470.3,12274.4,中国
104,法国兴业银行（SOCIÉTÉ GÉNÉRALE),99163.4,2695.1,法国
105,博世集团（BOSCH GROUP),99020.7,2271.3,德国
106,中粮集团有限公司（COFCO),97765.1,1270.3,中国
107,日本伊藤忠商事株式会社（ITOCHU),97074.1,5547.5,日本
108,中国电力建设集团有限公司（POWERCHINA),97034.9,775.9,中国
109,墨西哥石油公司（PEMEX),96978.8,457.1,墨西哥
110,特斯拉（TESLA),96773,14997,美国
111,摩根士丹利（MORGAN STANLEY),96194,9087,美国
112,中国医药集团有限公司（SINOPHARM),96072.2,1149.5,中国
113,博枫公司（BROOKFIELD),95924,1130,加拿大
114,皇家阿霍德德尔海兹集团（ROYAL AHOLD DELHAIZE),95834.8,2025.9,荷兰
115,强生（JOHNSON & JOHNSON),95195,35153,美国
116,印度石油公司（INDIAN OIL),94273,5042.3,印度
117,ADM公司（ARCHER DANIELS MIDLAND),93935,3483,美国
118,法国农业信贷银行（CRÉDIT AGRICOLE),93358.1,6862.6,法国
119,迪奥公司（CHRISTIAN DIOR),93136.5,6815,法国
120,日本电报电话公司（NIPPON TELEGRAPH AND TELEPHONE),92539.7,8853.1,日本
121,三井物产株式会社（MITSUI),92196.4,7359.7,日本
122,家乐福（CARREFOUR),91790.6,1793.5,法国
123,百事公司（PEPSICO),91471,9074,美国
124,联合包裹速递服务公司（UNITED PARCEL SERVICE),90958,6708,美国
125,泰国国家石油有限公司（PTT),90418.7,3221.1,泰国
126,安盛（AXA),90405.8,7771.7,法国
127,联邦快递（FEDEX),90155,3972,美国
128,索尼（SONY),90091.8,6715.5,日本
129,中国第一汽车集团有限公司（CHINA FAW GROUP),89485,2864.2,中国
130,Engie集团（ENGIE),89257.7,2387,法国
131,华特迪士尼公司（WALT DISNEY),88898,2354,美国
132,波兰国营石油公司（ORLEN),88717.6,4921.8,波兰
133,戴尔科技公司（DELL TECHNOLOGIES),88425,3211,美国
134,敦豪集团（DHL GROUP),88385.3,3975.1,德国
135,中国电信集团有限公司（CHINA TELECOMMUNICATIONS),87961.5,2150.8,中国
136,日产汽车（NISSAN MOTOR),87773.5,2952,日本
137,加拿大皇家银行（ROYAL BANK OF CANADA),87498.7,11019,加拿大
